"None","7878"
"1012","1"
"1091","3"
"1174","1"
"1221","1"
"1300","4"
"1315","1"
"1374","1"
"1381","1"
"1382","1"
"1389","1"
"1396","1"
"1400","20"
"1402","1"
"1415","1"
"1420","1"
"1422","1"
"1425","1"
"1431","1"
"1433","2"
"1444","1"
"1446","1"
"1447","2"
"1456","1"
"1457","1"
"1459","3"
"1461","1"
"1463","1"
"1466","1"
"1469","1"
"1470","1"
"1471","1"
"1474","1"
"1475","1"
"1476","1"
"1479","1"
"1481","1"
"1482","1"
"1484","1"
"1485","1"
"1487","1"
"1488","1"
"1489","1"
"1491","1"
"1496","1"
"1499","3"
"1500","45"
"1508","4"
"1510","1"
"1511","2"
"1515","1"
"1516","1"
"1520","2"
"1523","1"
"1525","1"
"1527","1"
"1528","1"
"1529","1"
"1536","4"
"1537","2"
"1539","1"
"1541","3"
"1543","1"
"1545","1"
"1546","1"
"1547","2"
"1548","7"
"1549","2"
"1550","3"
"1551","5"
"1552","2"
"1553","6"
"1554","2"
"1555","4"
"1556","2"
"1557","2"
"1558","2"
"1559","3"
"1560","7"
"1561","3"
"1562","4"
"1563","2"
"1564","3"
"1565","10"
"1566","4"
"1567","5"
"1568","3"
"1569","4"
"1570","5"
"1571","2"
"1572","3"
"1573","9"
"1574","1"
"1575","4"
"1576","3"
"1577","8"
"1578","3"
"1579","4"
"1580","7"
"1581","8"
"1582","2"
"1583","2"
"1584","6"
"1585","5"
"1586","7"
"1587","4"
"1589","2"
"1590","2"
"1591","2"
"1592","2"
"1593","8"
"1594","5"
"1595","2"
"1596","10"
"1597","8"
"1598","4"
"1599","7"
"1600","76"
"1601","6"
"1602","6"
"1603","2"
"1604","2"
"1605","4"
"1606","6"
"1607","2"
"1608","7"
"1609","7"
"1610","9"
"1611","1"
"1612","2"
"1613","8"
"1614","7"
"1615","2"
"1616","6"
"1617","8"
"1618","7"
"1619","7"
"1620","5"
"1621","3"
"1622","3"
"1623","2"
"1624","3"
"1625","8"
"1626","4"
"1627","1"
"1628","7"
"1629","1"
"1630","2"
"1631","2"
"1632","3"
"1634","2"
"1635","4"
"1636","2"
"1637","7"
"1638","6"
"1639","5"
"1640","5"
"1641","8"
"1642","4"
"1643","2"
"1644","4"
"1646","2"
"1647","7"
"1648","6"
"1649","18"
"1650","1"
"1651","13"
"1652","3"
"1653","4"
"1654","4"
"1655","1"
"1656","9"
"1657","4"
"1658","9"
"1659","9"
"1660","6"
"1661","5"
"1662","3"
"1663","2"
"1664","2"
"1665","1"
"1667","5"
"1668","1"
"1669","8"
"1670","13"
"1671","29"
"1672","9"
"1673","12"
"1674","15"
"1675","16"
"1676","20"
"1677","5"
"1678","14"
"1679","13"
"1680","16"
"1681","9"
"1682","9"
"1683","9"
"1684","12"
"1685","8"
"1686","3"
"1687","3"
"1688","7"
"1689","5"
"1690","6"
"1691","4"
"1692","8"
"1693","7"
"1694","6"
"1695","8"
"1696","9"
"1697","7"
"1698","5"
"1699","9"
"1700","116"
"1701","24"
"1702","11"
"1703","8"
"1704","14"
"1705","15"
"1706","8"
"1707","7"
"1708","23"
"1709","12"
"1710","16"
"1711","14"
"1712","10"
"1713","5"
"1714","15"
"1715","10"
"1716","14"
"1717","15"
"1718","11"
"1719","21"
"1720","18"
"1721","16"
"1722","12"
"1723","18"
"1724","10"
"1725","12"
"1726","27"
"1727","24"
"1728","17"
"1729","32"
"1730","25"
"1731","13"
"1732","19"
"1733","14"
"1734","14"
"1735","23"
"1736","22"
"1737","34"
"1738","22"
"1739","20"
"1740","21"
"1741","39"
"1742","27"
"1743","23"
"1744","64"
"1745","23"
"1746","18"
"1747","29"
"1748","34"
"1749","29"
"1750","45"
"1751","46"
"1752","38"
"1753","46"
"1754","49"
"1755","42"
"1756","28"
"1757","27"
"1758","29"
"1759","50"
"1760","36"
"1761","38"
"1762","47"
"1763","39"
