1012,1
1091,2
1174,1
1221,1
1315,1
1374,1
1381,1
1382,1
1389,1
1396,1
1400,1
1402,1
1415,1
1420,1
1422,1
1425,1
1431,1
1433,2
1444,1
1446,1
1447,2
1456,1
1457,1
1459,3
1461,1
1463,1
1466,1
1469,1
1470,1
1471,1
1474,1
1475,1
1476,1
1479,1
1481,1
1482,1
1484,1
1485,1
1487,1
1488,1
1489,1
1491,1
1496,1
1499,2
1500,2
1508,2
1510,1
1511,2
1515,1
1516,1
1520,2
1523,1
1525,1
1527,1
1528,1
1529,1
1536,3
1537,1
1539,1
1541,2
1543,1
1545,1
1546,1
1547,1
1548,5
1549,1
1550,3
1551,4
1552,1
1553,3
1554,1
1555,3
1556,1
1557,1
1558,1
1559,2
1560,3
1561,2
1562,2
1563,2
1564,2
1565,6
1566,2
1567,4
1568,3
1569,2
1570,3
1571,1
1572,2
1573,5
1574,1
1575,3
1576,3
1577,5
1578,2
1579,3
1580,5
1581,5
1582,2
1583,2
1584,3
1585,5
1586,6
1587,3
1588,1
1589,1
1590,2
1591,2
1592,2
1593,4
1594,3
1595,2
1596,8
1597,5
1598,3
1599,6
1600,1
1601,3
1602,4
1603,2
1604,2
1605,3
1606,3
1607,1
1608,4
1609,5
1610,5
1611,1
1612,3
1613,6
1614,4
1615,2
1616,4
1617,5
1618,5
1619,5
1620,5
1621,2
1622,2
1623,1
1624,2
1625,6
1626,3
1627,1
1628,4
1629,1
1630,2
1631,2
1632,2
1634,1
1635,3
1636,2
1637,5
1638,4
1639,3
1640,4
1641,6
1642,3
1643,2
1644,3
1646,1
1647,5
1648,4
1649,18
1650,1
1651,8
1652,2
1653,3
1654,3
1655,1
1656,7
1657,2
1658,6
1659,6
1660,4
1661,4
1662,3
1663,2
1664,1
1665,1
1667,3
1668,1
1669,6
1670,10
1671,25
1672,8
1673,8
1674,9
1675,10
1676,15
1677,6
1678,10
1679,9
1680,12
1681,6
1682,8
1683,6
1684,9
1685,7
1686,3
1687,3
1688,7
1689,4
1690,6
1691,4
1692,6
1693,5
1694,5
1695,6
1696,7
1697,5
1698,5
1699,6
1700,12
1701,19
1702,11
1703,14
1704,11
1705,14
1706,6
1707,6
1708,22
1709,10
1710,14
1711,11
1712,8
1713,5
1714,11
1715,8
1716,14
1717,14
1718,9
1719,20
1720,24
1721,14
1722,11
1723,17
1724,8
1725,12
1726,32
1727,23
1728,40
1729,26
1730,19
1731,22
1732,24
1733,11
1734,14
1735,19
1736,21
1737,35
1738,22
1739,33
1740,18
1741,32
1742,45
1743,27
1744,54
1745,19
1746,14
1747,51
1748,36
1749,33
1750,36
1751,57
1752,31
1753,49
1754,47
1755,44
1756,27
1757,25
1758,37
1759,43
1760,34
1761,60
1762,45
1763,39
1764,52
1765,51
1766,66
1767,73
1768,46
1769,54
1770,91
1771,68
1772,56
1773,55
1774,66
1775,80
1776,95
1777,72
1778,90
1779,60
1780,68
1781,69
1782,66
1783,71
1784,81
1785,74
1786,69
1787,96
1788,117
1789,94
1790,151
1791,90
1792,112
1793,122
1794,115
1795,109
1796,124
1797,136
1798,147
1799,92
1800,177
1801,171
1802,228
1803,227
1804,213
1805,235
1806,280
1807,283
1808,310
1809,294
1810,445
1811,331
1812,383
1813,293
1814,296
1815,362
1816,442
1817,301
1818,466
1819,492
1820,461
1821,394
1822,493
1823,488
1824,397
1825,524
1826,439
1827,504
1828,570
1829,555
1830,872
1831,601
1832,618
1833,676
1834,712
1835,796
1836,736
1837,660
1838,728
1839,804
1840,845
1841,833
1842,767
1843,734
1844,948
1845,977
1846,943
1847,957
1848,1090
1849,959
1850,1216
1851,1219
1852,1281
1853,1294
1854,1356
1855,1163
1856,1584
1857,1370
1858,1265
1859,1317
1860,1597
1861,1663
1862,1594
1863,1830
1864,2039
1865,2336
1866,1725
1867,1608
1868,1675
1869,1546
1870,1530
1871,1527
1872,1811
1873,1677
1874,2014
1875,1709
1876,2174
1877,1822
1878,1781
1879,1924
1880,2339
1881,2228
1882,2394
1883,2615
1884,2598
1885,2579
1886,2740
1887,2851
1888,2950
1889,3025
1890,3230
1891,3168
1892,3543
1893,3404
1894,3183
1895,3636
1896,3610
1897,3743
1898,4047
1899,4252
1900,4785
1901,4804
1902,5045
1903,5128
1904,5225
1905,5040
1906,4955
1907,5366
1908,5569
1909,5858
1910,6051
1911,6256
1912,6630
1913,6472
1914,6385
1915,6059
1916,6195
1917,6026
1918,5665
1919,5952
1920,6483
1921,5852
1922,6623
1923,125
1924,62
1925,41
1926,67
1927,61
1928,52
1929,41
1930,31
1931,55
1932,47
1933,23
1934,24
1935,32
1936,22
1937,58
1938,30
1939,78
1940,18
1941,60
1942,29
1943,11
1944,37
1945,12
1946,13
1947,15
1948,17
1949,196
1950,18
1951,26
1952,18
1953,16
1954,33
1955,26
1956,21
1957,17
1958,31
1959,21
1960,20
1961,20
1962,43
1963,113
1964,8
1965,9
1966,11
1967,9
1968,30
1969,410
1970,14
1971,27
1972,5
1973,13
1974,9
1975,16
1976,10
1977,10
1978,15
1979,20
1980,18
1981,20
1982,24
1983,10
1984,5
1985,19
1986,9
1987,5
1988,6
1989,10
1990,4
1991,5
1992,8
1993,2
1994,2
1995,2
1996,3
1997,2
1998,4
1999,3
2000,6
2001,3
2002,3
2006,1
2010,3
2460,1
2501,1
5342,1
5575,1
5590,1
5594,1
5601,2
5602,1
5612,1
5613,1
5623,1
5624,1
5633,1
5638,1
5647,1
5669,3
5682,1
5723,1
9103,1
null,11429
